lot_id,carat,color,clarity,viewings,price_index,reserve_price,final_price,sold
1,2.1854305348131313,I,VVS2,6,0.913541811443458,2210.6998924827176,2437.035019710911,1
2,4.7782143788446225,J,VVS2,16,0.9436604118664926,4472.976882108739,6118.330291445848,1
3,3.793972738151323,D,VS1,13,0.9535388607471185,3455.442778151435,5230.23435005148,1
4,3.1939631788866647,D,VS1,23,0.9863251228080994,3079.018725020529,5189.70011745786,1
5,1.2020838819909643,D,VVS1,2,1.1343992255124837,1262.9543651161111,1529.1607215493361,1
6,1.201975341512912,H,VVS2,11,0.894316837583684,1146.5237232129593,1376.1245010825721,1
7,0.7613762547568976,G,VVS2,12,1.1104000828141718,767.3996881595389,1241.1360822289798,1
8,4.3977926559872085,H,VS2,1,0.9621240732342974,4598.2855399431055,4704.145932953221,1
9,3.20501755284444,G,VS1,2,1.0407421534648034,2953.708097592226,3506.2923494539555,1
10,3.6863266000822046,H,VVS2,4,1.0530162132905225,3822.9404012322857,4459.470464296168,1
11,0.592630224331111,H,SI1,10,0.9491394548755738,544.2562948566203,713.1496924077616,1
12,4.864594334728975,I,VVS1,7,1.0050460820823222,5317.127836421963,5268.961490632335,0
13,4.2459918836018975,F,I1,22,0.9652124698590788,4236.136197692616,5648.630958256459,1
14,1.4555259980522428,H,SI1,22,0.8276531144746478,1353.8359966584278,1844.9118179644759,1
15,1.318212352431953,I,SI1,11,0.9748661555267306,1276.657984846755,1461.3964245686896,1
16,1.325320294340452,E,I1,6,0.8389573570214209,1302.370106959443,1139.6571794669726,0
17,1.8690900933179198,F,SI2,14,0.9620083196321286,1965.6043026071864,2353.0602478254386,1
18,2.86140394234507,H,SI2,23,1.0371673599327127,3000.7106985731048,4514.072829110563,1
19,2.4437525838895207,J,VVS1,16,1.0317659597374003,2498.463563721521,3386.9653116929153,1
20,1.8105311308911887,D,SI1,3,1.0650485116033281,1667.8361883629975,2086.6728621225425,1
21,3.2533380262507077,E,VVS2,21,0.8381046031818505,3026.625503665857,4314.413574018214,1
22,1.1277223729341883,E,VS1,24,1.060849298212175,1036.0964910466514,1958.3691091400515,1
